lemma	pos	year_first_occ	borrowed
а	OTHER	1675	N/A
а-ля	OTHER	1830	True
ааа	OTHER	1815	False
абажур	N	1850	True
абажурик	N	1925	True
абажурчик	N	1855	True
абак	N	1825	True
аббат	N	1750	True
аббатисса	N	1820	True
аббатство	N	1785	True
аббревиатура	N	1910	True
абвер	N	1955	True
абер	N	1780	True
абердин	N	1820	True
аберрация	N	1775	True
абзац	N	1775	True
абзацик	N	1970	True
абиссинка	N	1890	False
абиссинский	OTHER	1710	N/A
абитуриент	N	1900	True
або	N	1800	True
абонемент	N	1835	True
абонементный	OTHER	1860	True
абонент	N	1855	True
абонентный	OTHER	1895	True
абонентский	OTHER	1900	True
абордаж	N	1690	True
абордажный	OTHER	1825	True
абордирование	N	1690	True
абориген	N	1845	True
аборигенный	OTHER	1960	True
аборигенский	OTHER	1985	True
аборт	N	1845	True
абортарий	N	1925	True
абортировать	V	1930	True
абразив	N	1950	True
абразивный	OTHER	1925	True
абракадабра	N	1855	True
абрек	N	1825	True
абрикос	N	1775	True
абрикосовый	OTHER	1770	True
абрис	N	1690	True
абсанс	N	1985	True
абсент	N	1855	True
абсентеизм	N	1845	True
абсинтин	N	1965	True
абсолют	N	1835	True
абсолютизация	N	1900	True
абсолютизировать	V	1900	True
абсолютизм	N	1825	True
абсолютистский	OTHER	1855	True
абсолютнейший	OTHER	1875	True
абсолютно	OTHER	1825	True
абсолютность	N	1845	True
абсолютный	OTHER	1720	True
абсорбировать	V	1885	True
абсорбционный	OTHER	1890	True
абсорбция	N	1890	True
абстиненция	N	1915	True
абстрагирование	N	1900	True
абстрагировать	V	1880	True
абстрактно	OTHER	1825	True
абстрактность	N	1835	True
абстрактный	OTHER	1835	True
абстракционизм	N	1945	True
абстракционист	N	1935	True
абстракция	N	1835	True
абсурд	N	1760	True
абсурдно	OTHER	1870	True
абсурдность	N	1875	True
абсурдный	OTHER	1870	True
абсцесс	N	1870	True
абсцисса	N	1845	True
абулия	N	1900	True
абхаз	N	1830	False
абхазец	N	1865	False
абхазский	OTHER	1830	False
абшид	N	1690	True
абы	OTHER	1825	False
авалировать	V	1990	True
авангард	N	1690	True
авангардизм	N	1950	True
авангардист	N	1925	True
авангардистский	OTHER	1950	True
авангардный	OTHER	1765	True
аванложа	N	1855	True
аванс	N	1730	True
авансовый	OTHER	1915	True
авансцена	N	1785	True
авантаж	N	1690	True
авантажный	OTHER	1730	True
авантюра	N	1840	True
авантюризм	N	1875	True
авантюрист	N	1800	True
авантюристка	N	1855	True
авантюрный	OTHER	1900	True
авар	N	1795	False
аварийка	N	1925	True
аварийность	N	1955	True
аварийный	OTHER	1910	True
авария	N	1825	True
аварский	OTHER	1795	False
аватарка	N	2000	True
авва	N	1745	True
авгит	N	1880	True
август	N	1675	True
августейший	OTHER	1740	True
августинизм	N	1905	True
августовский	OTHER	1835	True
августодунский	OTHER	1965	True
авелев	N	1745	True
авеню	N	1880	True
авиабензин	N	1935	True
авиабилет	N	1950	True
авиабомба	N	1915	True
авиадвигатель	N	1935	True
авиадесантный	OTHER	1925	True
авиадиспетчер	N	1985	True
авиазавод	N	1920	True
авиакатастрофа	N	1935	True
авиакомпания	N	1950	True
авиаконструктор	N	1930	True
авиаконструкторский	OTHER	1965	True
авиакор	N	1995	True
авиакосмический	OTHER	1970	True
авиалайнер	N	1965	True
авиалиния	N	1930	True
авиалюбитель	N	1935	True
авиамоделист	N	1930	True
авианосец	N	1930	True
авиаотряд	N	1915	True
авиапассажир	N	1970	True
авиаперевозка	N	1950	True
авиаперевозчик	N	1990	True
авиаперелет	N	1985	True
авиаполк	N	1935	True
авиапочта	N	1920	True
авиапредприятие	N	1975	True
авиапром	N	1935	True
авиарейс	N	1965	True
авиаремонтный	OTHER	1965	True
авиасалон	N	1970	True
авиастроение	N	1940	True
